"Market order: O00001, 09:30:00, BUY, 100"
"Market order: O13364, 15:58:32, BUY, 400"
"Market order: O13365, 15:58:33, SELL, 800"
"Market order: O13366, 15:58:40, SELL, 500"
"Add limit order: O13367, 15:58:41, BUY, 700, $ 26.79"
"Market order: O13368, 15:58:42, SELL, 500"
"Add limit order: O13369, 15:58:46, BUY, 200, $ 33.25"
"Market order: O13370, 15:58:50, BUY, 100"
"Add limit order: O13371, 15:58:53, SELL, 700, $ 38.59"
"Cancel: O11781, 15:11:47, SELL, 500, $ 44.09"
"Cancel: O08638, 13:39:32, BUY, 400, $ 26.71"
"Add limit order: O13372, 15:58:58, BUY, 700, $ 30.14"
"Market order: O13373, 15:58:59, SELL, 400"
"Market order: O13374, 15:59:00, SELL, 500"
"Add limit order: O13375, 15:59:01, BUY, 200, $ 27.72"
"Add limit order: O13376, 15:59:02, SELL, 200, $ 37.51"
"Market order: O13377, 15:59:03, BUY, 300"
"Market order: O13378, 15:59:04, SELL, 700"
"Add limit order: O13379, 15:59:06, BUY, 400, $ 33.19"
"Market order: O13380, 15:59:10, BUY, 100"
"Market order: O13381, 15:59:11, SELL, 100"
"Add limit order: O13382, 15:59:12, SELL, 200, $ 41.26"
"Market order: O13383, 15:59:13, SELL, 200"
"Add limit order: O13384, 15:59:14, SELL, 600, $ 35.83"
"Add limit order: O13385, 15:59:15, BUY, 500, $ 30.2"
"Add limit order: O13386, 15:59:17, BUY, 600, $ 29.29"
"Market order: O13387, 15:59:20, SELL, 800"
"Add limit order: O13388, 15:59:21, SELL, 200, $ 37.63"
"Add limit order: O13389, 15:59:22, SELL, 700, $ 36.32"
"Add limit order: O13390, 15:59:25, SELL, 300, $ 42.68"
"Market order: O13391, 15:59:27, SELL, 400"
"Add limit order: O13392, 15:59:31, BUY, 200, $ 32.22"
"Add limit order: O13393, 15:59:32, SELL, 100, $ 36.63"
"Market order: O13394, 15:59:33, SELL, 100"
"Market order: O13395, 15:59:34, SELL, 800"
"Add limit order: O13396, 15:59:37, SELL, 100, $ 40.52"
"Market order: O13397, 15:59:38, BUY, 300"
"Market order: O13398, 15:59:39, SELL, 500"
"Add limit order: O13399, 15:59:41, BUY, 500, $ 30.36"
"Add limit order: O13400, 15:59:42, BUY, 800, $ 33.22"
"Market order: O13401, 15:59:43, SELL, 500"
"Add limit order: O13402, 15:59:46, SELL, 300, $ 39.94"
"Market order: O13403, 15:59:47, SELL, 600"
"Add limit order: O13404, 15:59:48, BUY, 900, $ 32.54"
"Market order: O13405, 15:59:51, BUY, 100"
"Add limit order: O13406, 15:59:52, BUY, 200, $ 26.32"
"Market order: O13407, 15:59:55, BUY, 100"
"Market order: O13408, 15:59:58, BUY, 900"
"Market order: O13409, 16:00:01, BUY, 300"
"Market order: O13410, 16:00:03, BUY, 400"
"Add limit order: O13411, 16:00:04, BUY, 300, $ 28.79"
"Cancel: O00092, 09:32:57, SELL, 300, $ 43.38"
"Add limit order: O13412, 16:00:06, SELL, 400, $ 37.43"
"Add limit order: O13413, 16:00:07, SELL, 300, $ 38.05"
"Market order: O13414, 16:00:10, BUY, 400"
"Market order: O13415, 16:00:12, BUY, 600"
"Market order: O13416, 16:00:15, BUY, 400"
"Add limit order: O13417, 16:00:17, SELL, 500, $ 40.74"
"Market order: O13418, 16:00:18, BUY, 100"
"Market order: O13419, 16:00:19, SELL, 400"
"Add limit order: O13420, 16:00:20, SELL, 600, $ 41.92"
"Add limit order: O13421, 16:00:21, SELL, 100, $ 41.41"
"Add limit order: O13422, 16:00:23, SELL, 300, $ 42.53"
"Add limit order: O13423, 16:00:24, SELL, 400, $ 40.1"
"Market order: O13424, 16:00:26, SELL, 300"
"Market order: O13425, 16:00:27, BUY, 300"
"Add limit order: O13426, 16:00:28, SELL, 700, $ 35.25"
"Market order: O13427, 16:00:29, SELL, 100"
"Market order: O13428, 16:00:30, SELL, 200"
"Add limit order: O13429, 16:00:33, SELL, 200, $ 41.36"
"Add limit order: O13430, 16:00:34, BUY, 100, $ 25.83"
"Add limit order: O13431, 16:00:35, BUY, 200, $ 32.23"
"Add limit order: O13432, 16:00:36, SELL, 100, $ 38.4"
"Market order: O13433, 16:00:38, SELL, 300"
"Add limit order: O13434, 16:00:44, BUY, 300, $ 27.26"
"Add limit order: O13435, 16:00:45, BUY, 100, $ 30.96"
"Cancel: O08323, 13:30:26, BUY, 100, $ 25.11"
"Add limit order: O13436, 16:00:53, BUY, 100, $ 30.55"
"Market order: O13437, 16:00:55, BUY, 500"
"Market order: O13438, 16:00:56, SELL, 600"
"Market order: O13439, 16:00:57, SELL, 800"
"Add limit order: O13440, 16:00:58, BUY, 200, $ 30.74"
"Cancel: O03890, 11:22:05, SELL, 300, $ 43.02"
"Add limit order: O13441, 16:01:02, SELL, 500, $ 41.84"
"Cancel: O05819, 12:18:26, SELL, 600, $ 43.69"
"Cancel: O04465, 11:39:12, SELL, 200, $ 44.93"
"Add limit order: O13442, 16:01:10, BUY, 300, $ 31.1"
"Market order: O13443, 16:01:12, SELL, 200"
"Add limit order: O13444, 16:01:13, BUY, 200, $ 32.69"
"Cancel: O13141, 15:51:58, BUY, 500, $ 27.35"
"Add limit order: O13445, 16:01:15, SELL, 300, $ 39.11"
"Market order: O13446, 16:01:16, BUY, 100"
"Add limit order: O13447, 16:01:19, BUY, 100, $ 32.78"
"Market order: O13448, 16:01:20, BUY, 400"
"Add limit order: O13449, 16:01:23, BUY, 100, $ 33.86"
"Add limit order: O13450, 16:01:24, BUY, 300, $ 32.47"
"Market order: O13451, 16:01:28, SELL, 800"
"Add limit order: O13452, 16:01:30, BUY, 200, $ 29.7"
"Market order: O13453, 16:01:31, SELL, 300"
"Market order: O13454, 16:01:32, BUY, 500"
"Add limit order: O13455, 16:01:33, BUY, 100, $ 33.31"
"Add limit order: O13456, 16:01:34, BUY, 500, $ 31.2"
"Add limit order: O13457, 16:01:35, BUY, 200, $ 27.04"
"Add limit order: O13458, 16:01:37, BUY, 300, $ 30.01"
"Add limit order: O13459, 16:01:38, BUY, 400, $ 31.78"
"Add limit order: O13460, 16:01:39, SELL, 100, $ 44.01"
"Add limit order: O13461, 16:01:40, SELL, 900, $ 40.57"
"Market order: O13462, 16:01:42, SELL, 200"
"Add limit order: O13463, 16:01:46, BUY, 400, $ 26.7"
"Market order: O13464, 16:01:47, BUY, 700"
"Add limit order: O13465, 16:01:50, BUY, 500, $ 33.7"
"Add limit order: O13466, 16:01:51, SELL, 700, $ 36.68"
"Add limit order: O13467, 16:01:52, BUY, 100, $ 34.02"
"Add limit order: O13468, 16:01:53, SELL, 300, $ 40.9"
"Add limit order: O13469, 16:01:54, BUY, 400, $ 28.93"
"Add limit order: O13470, 16:01:55, BUY, 100, $ 31.02"
"Add limit order: O13471, 16:01:56, BUY, 500, $ 27.75"
"Market order: O13472, 16:01:57, SELL, 100"
"Add limit order: O13473, 16:01:58, BUY, 300, $ 25.46"
"Add limit order: O13474, 16:01:59, SELL, 200, $ 43.23"
"Add limit order: O13475, 16:02:02, SELL, 100, $ 40.31"
"Cancel: O09180, 13:55:44, SELL, 300, $ 44.88"
"Market order: O13476, 16:02:06, SELL, 200"
"Market order: O13477, 16:02:07, BUY, 100"
"Market order: O13478, 16:02:09, BUY, 200"
"Add limit order: O13479, 16:02:11, SELL, 300, $ 43.78"
"Market order: O13480, 16:02:13, SELL, 100"
"Add limit order: O13481, 16:02:15, BUY, 400, $ 26.06"
"Market order: O13482, 16:02:16, SELL, 300"
"Market order: O13483, 16:02:17, SELL, 700"
"Add limit order: O13484, 16:02:18, SELL, 500, $ 39.68"
"Market order: O13485, 16:02:20, BUY, 100"
"Market order: O13486, 16:02:21, SELL, 100"
"Market order: O13487, 16:02:24, BUY, 200"
"Add limit order: O13488, 16:02:25, BUY, 300, $ 27.77"
"Add limit order: O13489, 16:02:28, BUY, 800, $ 33.59"
"Market order: O13490, 16:02:30, SELL, 400"
"Market order: O13491, 16:02:35, BUY, 300"
"Add limit order: O13492, 16:02:36, SELL, 500, $ 39.94"
"Add limit order: O13493, 16:02:37, BUY, 300, $ 31.05"
"Add limit order: O13494, 16:02:38, SELL, 900, $ 36.89"
"Add limit order: O13495, 16:02:39, SELL, 900, $ 43.52"
"Market order: O13496, 16:02:40, BUY, 500"
"Market order: O13497, 16:02:42, BUY, 300"
"Market order: O13498, 16:02:43, SELL, 200"
"Market order: O13499, 16:02:45, BUY, 200"
"Add limit order: O13500, 16:02:46, BUY, 100, $ 28.97"
"Add limit order: O13501, 16:02:48, SELL, 100, $ 39.4"
"Cancel: O03807, 11:19:59, BUY, 200, $ 26.44"
"Add limit order: O13502, 16:02:51, BUY, 300, $ 32.62"
"Add limit order: O13503, 16:02:53, SELL, 500, $ 39.73"
"Market order: O13504, 16:02:55, BUY, 100"
"Add limit order: O13505, 16:02:56, SELL, 200, $ 37.17"
"Add limit order: O13506, 16:02:57, BUY, 800, $ 30.88"
"Market order: O13507, 16:02:58, BUY, 400"
"Market order: O13508, 16:02:59, BUY, 300"
"Market order: O13509, 16:03:01, BUY, 700"
"Market order: O13510, 16:03:02, BUY, 900"
"Market order: O13511, 16:03:04, BUY, 300"
"Market order: O13512, 16:03:07, SELL, 200"
"Add limit order: O13513, 16:03:08, BUY, 300, $ 30.76"
"Market order: O13514, 16:03:09, BUY, 300"
"Add limit order: O13515, 16:03:10, SELL, 400, $ 38.6"
"Add limit order: O13516, 16:03:11, BUY, 300, $ 31.4"
"Add limit order: O13517, 16:03:13, BUY, 100, $ 25.71"
"Market order: O13518, 16:03:14, BUY, 800"
"Add limit order: O13519, 16:03:15, SELL, 400, $ 40.94"
"Add limit order: O13520, 16:03:17, BUY, 100, $ 30.21"
"Market order: O13521, 16:03:18, BUY, 300"
"Cancel: O11012, 14:49:33, BUY, 900, $ 27.91"
"Add limit order: O13522, 16:03:23, SELL, 200, $ 36.89"
"Add limit order: O13523, 16:03:26, SELL, 300, $ 37.35"
"Add limit order: O13524, 16:03:27, SELL, 900, $ 41.98"
"Add limit order: O13525, 16:03:28, BUY, 100, $ 30.57"
"Cancel: O06808, 12:46:42, BUY, 300, $ 25.38"
"Cancel: O01519, 10:13:56, SELL, 200, $ 43.33"
"Add limit order: O13526, 16:03:33, SELL, 100, $ 41.55"
"Add limit order: O13527, 16:03:35, SELL, 300, $ 39.99"
"Add limit order: O13528, 16:03:36, SELL, 100, $ 41.36"
"Add limit order: O13529, 16:03:37, SELL, 300, $ 38.67"
"Market order: O13530, 16:03:38, SELL, 200"
"Add limit order: O13531, 16:03:39, BUY, 700, $ 30.95"
"Add limit order: O13532, 16:03:40, BUY, 300, $ 32.0"
"Add limit order: O13533, 16:03:41, BUY, 400, $ 32.68"
"Add limit order: O13534, 16:03:43, BUY, 100, $ 25.23"
"Add limit order: O13535, 16:03:44, BUY, 100, $ 27.47"
"Add limit order: O13536, 16:03:46, SELL, 900, $ 43.68"
"Market order: O13537, 16:03:49, SELL, 500"
"Market order: O13538, 16:03:50, BUY, 200"
"Add limit order: O13539, 16:03:52, BUY, 100, $ 34.37"
"Cancel: O09741, 14:12:04, SELL, 400, $ 44.11"
"Market order: O13540, 16:03:55, SELL, 200"
"Add limit order: O13541, 16:03:59, BUY, 300, $ 30.32"
"Add limit order: O13542, 16:04:04, BUY, 400, $ 34.88"
"Market order: O13543, 16:04:06, SELL, 200"
"Market order: O13544, 16:04:07, SELL, 800"
"Add limit order: O13545, 16:04:08, SELL, 300, $ 38.75"
"Market order: O13546, 16:04:09, SELL, 600"
"Add limit order: O13547, 16:04:13, BUY, 200, $ 27.89"
"Add limit order: O13548, 16:04:14, SELL, 200, $ 37.73"
"Add limit order: O13549, 16:04:16, BUY, 900, $ 26.89"
"Add limit order: O13550, 16:04:17, BUY, 600, $ 29.91"
"Add limit order: O13551, 16:04:18, BUY, 200, $ 34.58"
"Add limit order: O13552, 16:04:20, SELL, 500, $ 38.4"
"Add limit order: O13553, 16:04:22, SELL, 300, $ 39.64"
"Cancel: O08315, 13:30:16, SELL, 600, $ 44.69"
"Market order: O13554, 16:04:25, SELL, 200"
"Market order: O13555, 16:04:27, BUY, 400"
"Add limit order: O13556, 16:04:29, BUY, 300, $ 31.18"
"Add limit order: O13557, 16:04:30, SELL, 100, $ 44.96"
"Add limit order: O13558, 16:04:31, BUY, 500, $ 34.35"
"Add limit order: O13559, 16:04:32, SELL, 400, $ 44.17"
"Add limit order: O13560, 16:04:33, SELL, 200, $ 39.7"
"Market order: O13561, 16:04:35, BUY, 100"
"Add limit order: O13562, 16:04:36, BUY, 500, $ 32.22"
"Add limit order: O13563, 16:04:37, SELL, 400, $ 36.89"
"Market order: O13564, 16:04:39, BUY, 300"
"Add limit order: O13565, 16:04:41, BUY, 500, $ 25.28"
"Add limit order: O13566, 16:04:42, SELL, 400, $ 38.69"
"Add limit order: O13567, 16:04:43, BUY, 400, $ 33.66"
"Cancel: O02136, 10:32:10, SELL, 900, $ 44.33"
"Add limit order: O13568, 16:04:49, BUY, 100, $ 26.75"
"Market order: O13569, 16:04:50, SELL, 400"
"Add limit order: O13570, 16:04:51, SELL, 900, $ 35.61"
"Add limit order: O13571, 16:04:52, BUY, 500, $ 25.46"
"Add limit order: O13572, 16:04:55, BUY, 300, $ 26.16"
"Market order: O13573, 16:04:57, SELL, 700"
"Market order: O13574, 16:04:59, SELL, 500"
"Market order: O13575, 16:05:06, SELL, 100"
"Add limit order: O13576, 16:05:09, SELL, 300, $ 44.02"
"Market order: O13577, 16:05:10, BUY, 300"
"Add limit order: O13578, 16:05:11, BUY, 700, $ 28.06"
"Add limit order: O13579, 16:05:12, SELL, 200, $ 38.75"
"Cancel: O04536, 11:41:13, BUY, 400, $ 25.05"
"Market order: O13580, 16:05:14, SELL, 200"
"Add limit order: O13581, 16:05:15, SELL, 500, $ 41.67"
"Add limit order: O13582, 16:05:16, SELL, 200, $ 35.13"
"Add limit order: O13583, 16:05:17, BUY, 100, $ 30.29"
"Add limit order: O13584, 16:05:18, BUY, 700, $ 28.45"
"Market order: O13585, 16:05:20, SELL, 100"
"Add limit order: O13586, 16:05:21, SELL, 200, $ 38.79"
"Market order: O13587, 16:05:22, BUY, 600"
"Add limit order: O13588, 16:05:24, SELL, 200, $ 42.41"
"Market order: O13589, 16:05:26, SELL, 400"
"Add limit order: O13590, 16:05:28, SELL, 200, $ 38.9"
"Market order: O13591, 16:05:30, BUY, 200"
"Add limit order: O13592, 16:05:31, BUY, 300, $ 33.27"
"Market order: O13593, 16:05:33, BUY, 900"
"Market order: O13594, 16:05:34, SELL, 300"
"Add limit order: O13595, 16:05:35, BUY, 500, $ 29.25"
"Add limit order: O13596, 16:05:37, BUY, 500, $ 29.23"
"Market order: O13597, 16:05:38, BUY, 100"
"Add limit order: O13598, 16:05:39, SELL, 600, $ 40.91"
"Add limit order: O13599, 16:05:40, BUY, 300, $ 26.77"
"Market order: O13600, 16:05:45, BUY, 100"
"Add limit order: O13601, 16:05:47, SELL, 300, $ 36.03"
"Add limit order: O13602, 16:05:48, SELL, 200, $ 44.71"
"Add limit order: O13603, 16:05:49, SELL, 100, $ 39.77"
"Market order: O13604, 16:05:50, BUY, 200"
"Add limit order: O13605, 16:05:51, SELL, 300, $ 37.58"
"Add limit order: O13606, 16:05:52, SELL, 700, $ 37.15"
"Add limit order: O13607, 16:05:53, SELL, 500, $ 43.87"
"Add limit order: O13608, 16:05:54, BUY, 400, $ 27.33"
"Market order: O13609, 16:05:56, BUY, 200"
"Market order: O13610, 16:05:57, SELL, 100"
"Market order: O13611, 16:05:58, BUY, 900"
"Add limit order: O13612, 16:06:00, SELL, 300, $ 40.88"
"Market order: O13613, 16:06:01, SELL, 600"
"Market order: O13614, 16:06:02, BUY, 500"
"Market order: O13615, 16:06:03, BUY, 100"
"Add limit order: O13616, 16:06:04, SELL, 400, $ 35.58"
"Market order: O13617, 16:06:07, BUY, 300"
"Market order: O13618, 16:06:08, BUY, 100"
"Add limit order: O13619, 16:06:09, BUY, 100, $ 25.91"
"Market order: O13620, 16:06:11, SELL, 200"
"Market order: O13621, 16:06:12, SELL, 700"
"Market order: O13622, 16:06:13, SELL, 400"
"Market order: O13623, 16:06:14, BUY, 500"
"Market order: O13624, 16:06:18, SELL, 400"
"Market order: O13625, 16:06:20, BUY, 900"
"Market order: O13626, 16:06:21, BUY, 400"
"Add limit order: O13627, 16:06:22, BUY, 200, $ 34.06"
"Add limit order: O13628, 16:06:27, SELL, 100, $ 44.07"
"Market order: O13629, 16:06:29, BUY, 400"
"Market order: O13630, 16:06:30, BUY, 500"
"Add limit order: O13631, 16:06:31, BUY, 400, $ 29.18"
"Market order: O13632, 16:06:32, BUY, 700"
"Market order: O13633, 16:06:33, BUY, 300"
"Market order: O13634, 16:06:34, SELL, 400"
"Market order: O13635, 16:06:35, BUY, 600"
"Add limit order: O13636, 16:06:36, SELL, 300, $ 37.21"
"Market order: O13637, 16:06:38, SELL, 100"
"Market order: O13638, 16:06:39, BUY, 300"
"Market order: O13639, 16:06:41, SELL, 800"
"Market order: O13640, 16:06:43, SELL, 100"
"Add limit order: O13641, 16:06:44, SELL, 600, $ 39.18"
"Add limit order: O13642, 16:06:50, SELL, 400, $ 39.11"
"Market order: O13643, 16:06:51, SELL, 300"
"Add limit order: O13644, 16:06:52, BUY, 700, $ 26.37"
"Add limit order: O13645, 16:06:54, SELL, 200, $ 40.1"
"Add limit order: O13646, 16:06:55, BUY, 200, $ 28.65"
"Market order: O13647, 16:06:59, BUY, 500"
"Market order: O13648, 16:07:00, BUY, 200"
"Add limit order: O13649, 16:07:01, BUY, 100, $ 27.76"
"Add limit order: O13650, 16:07:03, SELL, 600, $ 38.74"
"Market order: O13651, 16:07:05, SELL, 300"
"Add limit order: O13652, 16:07:07, SELL, 200, $ 39.69"
"Add limit order: O13653, 16:07:09, BUY, 400, $ 33.62"
"Market order: O13654, 16:07:10, SELL, 200"
"Add limit order: O13655, 16:07:11, BUY, 500, $ 30.31"
"Market order: O13656, 16:07:13, SELL, 800"
"Market order: O13657, 16:07:14, BUY, 500"
"Add limit order: O13658, 16:07:15, SELL, 600, $ 41.98"
"Market order: O13659, 16:07:16, SELL, 500"
"Market order: O13660, 16:07:17, SELL, 300"
"Add limit order: O13661, 16:07:18, BUY, 200, $ 30.62"
"Add limit order: O13662, 16:07:19, SELL, 300, $ 37.08"
"Add limit order: O13663, 16:07:20, BUY, 600, $ 32.79"
"Market order: O13664, 16:07:21, SELL, 800"
"Add limit order: O13665, 16:07:22, BUY, 500, $ 29.37"
"Add limit order: O13666, 16:07:23, BUY, 300, $ 25.82"
"Add limit order: O13667, 16:07:26, BUY, 800, $ 29.86"
"Cancel: O11335, 14:58:54, BUY, 400, $ 27.74"
"Market order: O13668, 16:07:31, SELL, 600"
"Add limit order: O13669, 16:07:32, BUY, 600, $ 25.81"
"Market order: O13670, 16:07:33, BUY, 400"
"Add limit order: O13671, 16:07:34, BUY, 300, $ 29.23"
"Cancel: O09366, 14:01:18, SELL, 100, $ 44.54"
"Add limit order: O13672, 16:07:38, BUY, 900, $ 32.58"
"Add limit order: O13673, 16:07:40, BUY, 100, $ 25.16"
"Add limit order: O13674, 16:07:41, SELL, 900, $ 36.47"
"Market order: O13675, 16:07:42, BUY, 100"
"Market order: O13676, 16:07:43, BUY, 100"
"Market order: O13677, 16:07:44, SELL, 900"
"Market order: O13678, 16:07:45, BUY, 600"
"Add limit order: O13679, 16:07:46, BUY, 100, $ 28.14"
"Market order: O13680, 16:07:47, SELL, 500"
"Add limit order: O13681, 16:07:51, SELL, 100, $ 36.17"
"Add limit order: O13682, 16:07:52, BUY, 600, $ 31.19"
"Add limit order: O13683, 16:07:53, SELL, 800, $ 39.3"
"Cancel: O00352, 09:40:12, SELL, 100, $ 43.74"
"Add limit order: O13684, 16:07:57, SELL, 500, $ 40.51"
"Market order: O13685, 16:07:59, SELL, 700"
"Add limit order: O13686, 16:08:00, BUY, 300, $ 28.56"
"Market order: O13687, 16:08:01, BUY, 100"
"Market order: O13688, 16:08:05, SELL, 700"
"Add limit order: O13689, 16:08:07, SELL, 300, $ 44.12"
"Market order: O13690, 16:08:09, BUY, 200"
"Market order: O13691, 16:08:13, SELL, 300"
"Market order: O13692, 16:08:15, BUY, 600"
"Add limit order: O13693, 16:08:16, BUY, 300, $ 26.72"
"Market order: O13694, 16:08:18, BUY, 500"
"Market order: O13695, 16:08:20, SELL, 500"
"Add limit order: O13696, 16:08:21, SELL, 900, $ 43.95"
"Add limit order: O13697, 16:08:22, SELL, 300, $ 40.51"
"Add limit order: O13698, 16:08:23, BUY, 500, $ 34.61"
"Market order: O13699, 16:08:24, BUY, 300"
"Add limit order: O13700, 16:08:25, BUY, 600, $ 25.2"
"Market order: O13701, 16:08:26, SELL, 100"
"Add limit order: O13702, 16:08:27, SELL, 400, $ 42.4"
"Add limit order: O13703, 16:08:28, BUY, 300, $ 30.53"
"Market order: O13704, 16:08:29, SELL, 300"
"Add limit order: O13705, 16:08:31, SELL, 400, $ 37.55"
"Market order: O13706, 16:08:33, SELL, 500"
"Add limit order: O13707, 16:08:34, SELL, 100, $ 43.0"
"Market order: O13708, 16:08:37, SELL, 500"
"Market order: O13709, 16:08:38, BUY, 200"
"Add limit order: O13710, 16:08:41, BUY, 400, $ 26.39"
"Cancel: O06447, 12:36:39, BUY, 200, $ 27.44"
"Add limit order: O13711, 16:08:46, SELL, 700, $ 40.05"
"Market order: O13712, 16:08:50, BUY, 700"
"Add limit order: O13713, 16:08:51, SELL, 700, $ 36.23"
"Market order: O13714, 16:08:52, BUY, 700"
"Market order: O13715, 16:08:53, SELL, 500"
"Market order: O13716, 16:08:54, BUY, 500"
"Market order: O13717, 16:08:55, BUY, 300"
"Add limit order: O13718, 16:08:56, BUY, 600, $ 29.65"
"Add limit order: O13719, 16:08:57, SELL, 800, $ 36.64"
"Market order: O13720, 16:09:00, BUY, 700"
"Add limit order: O13721, 16:09:01, SELL, 600, $ 39.49"
"Add limit order: O13722, 16:09:03, SELL, 500, $ 43.44"
"Market order: O13723, 16:09:04, BUY, 100"
"Market order: O13724, 16:09:05, BUY, 700"
"Market order: O13725, 16:09:06, BUY, 100"
"Market order: O13726, 16:09:07, SELL, 300"
"Market order: O13727, 16:09:08, SELL, 500"
"Add limit order: O13728, 16:09:09, BUY, 300, $ 32.88"
"Market order: O13729, 16:09:12, BUY, 500"
"Add limit order: O13730, 16:09:13, SELL, 100, $ 36.38"
"Add limit order: O13731, 16:09:14, BUY, 700, $ 28.62"
"Add limit order: O13732, 16:09:15, BUY, 100, $ 26.23"
"Add limit order: O13733, 16:09:18, SELL, 300, $ 40.83"
"Add limit order: O13734, 16:09:19, SELL, 100, $ 43.71"
"Market order: O13735, 16:09:20, BUY, 200"
"Market order: O13736, 16:09:22, SELL, 500"
"Market order: O13737, 16:09:24, BUY, 300"
"Market order: O13738, 16:09:26, SELL, 200"
"Market order: O13739, 16:09:27, SELL, 400"
"Market order: O13740, 16:09:28, SELL, 500"
"Add limit order: O13741, 16:09:29, BUY, 100, $ 28.52"
"Add limit order: O13742, 16:09:30, BUY, 600, $ 34.57"
"Cancel: O02181, 10:33:24, BUY, 300, $ 27.07"
"Market order: O13743, 16:09:38, BUY, 300"
"Add limit order: O13744, 16:09:39, SELL, 300, $ 41.57"
"Add limit order: O13745, 16:09:42, BUY, 900, $ 30.65"
"Add limit order: O13746, 16:09:44, SELL, 200, $ 36.23"
"Market order: O13747, 16:09:45, SELL, 500"
"Market order: O13748, 16:09:46, BUY, 900"
"Add limit order: O13749, 16:09:48, BUY, 500, $ 25.08"
"Add limit order: O13750, 16:09:49, BUY, 500, $ 26.9"
"Market order: O13751, 16:09:53, SELL, 200"
"Add limit order: O13752, 16:09:54, BUY, 700, $ 26.81"
"Add limit order: O13753, 16:09:56, SELL, 300, $ 43.81"
"Market order: O13754, 16:09:57, BUY, 400"
"Add limit order: O13755, 16:09:58, SELL, 300, $ 38.68"
"Market order: O13756, 16:09:59, SELL, 200"
"Market order: O13757, 16:10:01, BUY, 500"
"Market order: O13758, 16:10:03, SELL, 600"
"Add limit order: O13759, 16:10:05, BUY, 400, $ 26.11"
"Market order: O13760, 16:10:06, SELL, 600"
"Market order: O13761, 16:10:10, SELL, 500"
"Add limit order: O13762, 16:10:13, SELL, 600, $ 43.86"
"Add limit order: O13763, 16:10:15, BUY, 100, $ 32.24"
"Add limit order: O13764, 16:10:16, SELL, 300, $ 35.68"
"Add limit order: O13765, 16:10:19, BUY, 700, $ 32.54"
"Market order: O13766, 16:10:20, BUY, 500"
"Add limit order: O13767, 16:10:22, BUY, 400, $ 31.97"
"Add limit order: O13768, 16:10:23, BUY, 300, $ 27.39"
"Add limit order: O13769, 16:10:25, BUY, 600, $ 26.33"
"Add limit order: O13770, 16:10:26, SELL, 200, $ 37.89"
"Add limit order: O13771, 16:10:28, SELL, 600, $ 35.53"
"Market order: O13772, 16:10:29, BUY, 200"
"Add limit order: O13773, 16:10:30, SELL, 400, $ 35.95"
"Add limit order: O13774, 16:10:33, BUY, 200, $ 34.51"
"Add limit order: O13775, 16:10:34, BUY, 600, $ 27.82"
"Add limit order: O13776, 16:10:35, SELL, 200, $ 37.31"
"Add limit order: O13777, 16:10:38, BUY, 400, $ 33.96"
"Cancel: O00728, 09:51:20, BUY, 500, $ 25.6"
"Market order: O13778, 16:10:40, SELL, 700"
"Add limit order: O13779, 16:10:41, SELL, 200, $ 42.37"
"Add limit order: O13780, 16:10:43, BUY, 700, $ 30.84"
"Add limit order: O13781, 16:10:45, BUY, 300, $ 32.26"
"Add limit order: O13782, 16:10:46, SELL, 300, $ 39.41"
"Add limit order: O13783, 16:10:47, BUY, 500, $ 28.46"
"Market order: O13784, 16:10:50, SELL, 900"
"Add limit order: O13785, 16:10:53, SELL, 400, $ 42.1"
"Add limit order: O13786, 16:10:55, SELL, 500, $ 42.42"
"Market order: O13787, 16:10:58, SELL, 100"
"Add limit order: O13788, 16:11:02, SELL, 200, $ 39.5"
"Market order: O13789, 16:11:03, SELL, 400"
"Add limit order: O13790, 16:11:06, SELL, 200, $ 42.25"
"Add limit order: O13791, 16:11:13, SELL, 700, $ 36.78"
"Add limit order: O13792, 16:11:14, SELL, 200, $ 37.18"
"Add limit order: O13793, 16:11:15, SELL, 500, $ 44.15"
"Market order: O13794, 16:11:16, SELL, 600"
"Market order: O13795, 16:11:18, BUY, 100"
"Market order: O13796, 16:11:19, SELL, 600"
"Market order: O13797, 16:11:20, SELL, 500"
"Add limit order: O13798, 16:11:22, SELL, 400, $ 43.64"
"Add limit order: O13799, 16:11:23, BUY, 400, $ 29.38"
"Add limit order: O13800, 16:11:24, SELL, 400, $ 37.07"
"Market order: O13801, 16:11:27, BUY, 100"
"Add limit order: O13802, 16:11:29, SELL, 400, $ 44.34"
"Market order: O13803, 16:11:31, SELL, 500"
"Market order: O13804, 16:11:33, BUY, 100"
"Market order: O13805, 16:11:35, SELL, 700"
"Market order: O13806, 16:11:36, BUY, 300"
"Market order: O13807, 16:11:39, BUY, 300"
"Market order: O13808, 16:11:40, SELL, 700"
"Market order: O13809, 16:11:43, BUY, 600"
"Market order: O13810, 16:11:44, SELL, 700"
"Market order: O13811, 16:11:45, BUY, 500"
"Add limit order: O13812, 16:11:46, SELL, 700, $ 44.92"
"Add limit order: O13813, 16:11:47, BUY, 100, $ 29.51"
"Cancel: O13495, 16:02:39, SELL, 900, $ 43.52"
"Add limit order: O13814, 16:11:51, SELL, 400, $ 44.55"
"Add limit order: O13815, 16:11:53, SELL, 200, $ 41.76"
"Market order: O13816, 16:11:54, SELL, 400"
"Add limit order: O13817, 16:11:55, BUY, 300, $ 30.2"
"Add limit order: O13818, 16:11:57, SELL, 100, $ 37.43"
