"Market order: O00001, 09:30:01, BUY, 900"
"Market order: O00002, 09:30:05, SELL, 700"
"Market order: O12710, 15:34:27, SELL, 300"
"Add limit order: O12711, 15:34:28, BUY, 500, $ 32.65"
"Market order: O12712, 15:34:29, BUY, 700"
"Market order: O12713, 15:34:30, BUY, 700"
"Add limit order: O12714, 15:34:32, SELL, 200, $ 36.33"
"Market order: O12715, 15:34:33, BUY, 200"
"Add limit order: O12716, 15:34:34, SELL, 600, $ 43.64"
"Market order: O12717, 15:34:35, SELL, 100"
"Market order: O12718, 15:34:37, SELL, 200"
"Add limit order: O12719, 15:34:39, SELL, 800, $ 43.13"
"Market order: O12720, 15:34:40, SELL, 400"
"Add limit order: O12721, 15:34:43, SELL, 400, $ 37.01"
"Add limit order: O12722, 15:34:44, SELL, 100, $ 43.75"
"Add limit order: O12723, 15:34:45, BUY, 500, $ 25.7"
"Market order: O12724, 15:34:46, BUY, 100"
"Add limit order: O12725, 15:34:47, BUY, 700, $ 29.6"
"Market order: O12726, 15:34:50, SELL, 300"
"Add limit order: O12727, 15:34:51, BUY, 100, $ 29.62"
"Market order: O12728, 15:34:54, SELL, 700"
"Add limit order: O12729, 15:34:55, SELL, 200, $ 43.71"
"Add limit order: O12730, 15:34:57, SELL, 100, $ 42.75"
"Add limit order: O12731, 15:34:59, SELL, 300, $ 44.61"
"Market order: O12732, 15:35:00, SELL, 300"
"Cancel: O01915, 10:25:31, BUY, 100, $ 26.37"
"Market order: O12733, 15:35:10, SELL, 100"
"Market order: O12734, 15:35:11, BUY, 200"
"Market order: O12735, 15:35:12, BUY, 200"
"Add limit order: O12736, 15:35:13, SELL, 600, $ 44.52"
"Market order: O12737, 15:35:17, BUY, 500"
"Add limit order: O12738, 15:35:18, BUY, 800, $ 29.23"
"Add limit order: O12739, 15:35:23, BUY, 300, $ 33.34"
"Add limit order: O12740, 15:35:25, BUY, 200, $ 26.38"
"Cancel: O05917, 12:20:10, BUY, 300, $ 26.51"
"Market order: O12741, 15:35:30, SELL, 900"
"Add limit order: O12742, 15:35:32, BUY, 300, $ 33.32"
"Market order: O12743, 15:35:33, SELL, 400"
"Market order: O12744, 15:35:34, BUY, 200"
"Add limit order: O12745, 15:35:35, BUY, 900, $ 32.16"
"Add limit order: O12746, 15:35:37, BUY, 200, $ 28.43"
"Add limit order: O12747, 15:35:40, SELL, 600, $ 38.47"
"Add limit order: O12748, 15:35:43, SELL, 300, $ 37.49"
"Add limit order: O12749, 15:35:44, BUY, 300, $ 31.07"
"Add limit order: O12750, 15:35:45, SELL, 100, $ 43.89"
"Market order: O12751, 15:35:46, SELL, 700"
"Add limit order: O12752, 15:35:47, BUY, 200, $ 27.63"
"Add limit order: O12753, 15:35:48, SELL, 100, $ 40.13"
"Market order: O12754, 15:35:49, SELL, 200"
"Market order: O12755, 15:35:50, SELL, 100"
"Cancel: O09894, 14:13:57, SELL, 200, $ 44.41"
"Add limit order: O12756, 15:35:53, SELL, 500, $ 40.54"
"Market order: O12757, 15:35:54, BUY, 600"
"Add limit order: O12758, 15:35:55, BUY, 100, $ 31.38"
"Add limit order: O12759, 15:35:56, SELL, 300, $ 41.62"
"Add limit order: O12760, 15:35:57, BUY, 200, $ 26.82"
"Market order: O12761, 15:36:00, BUY, 700"
"Add limit order: O12762, 15:36:02, SELL, 800, $ 39.92"
"Market order: O12763, 15:36:03, SELL, 700"
"Add limit order: O12764, 15:36:08, BUY, 300, $ 32.43"
"Market order: O12765, 15:36:09, SELL, 400"
"Market order: O12766, 15:36:10, BUY, 400"
"Market order: O12767, 15:36:11, SELL, 400"
"Add limit order: O12768, 15:36:12, BUY, 100, $ 28.01"
"Add limit order: O12769, 15:36:15, SELL, 400, $ 38.75"
"Market order: O12770, 15:36:16, SELL, 100"
"Add limit order: O12771, 15:36:17, BUY, 300, $ 29.04"
"Market order: O12772, 15:36:20, BUY, 100"
"Cancel: O03527, 11:11:19, BUY, 500, $ 27.04"
"Add limit order: O12773, 15:36:23, BUY, 200, $ 30.39"
"Add limit order: O12774, 15:36:25, BUY, 300, $ 26.97"
"Add limit order: O12775, 15:36:28, BUY, 700, $ 32.19"
"Add limit order: O12776, 15:36:29, SELL, 600, $ 43.24"
"Add limit order: O12777, 15:36:30, SELL, 400, $ 41.71"
"Cancel: O00549, 09:46:18, BUY, 600, $ 27.91"
"Add limit order: O12778, 15:36:34, BUY, 500, $ 32.47"
"Market order: O12779, 15:36:35, SELL, 100"
"Add limit order: O12780, 15:36:36, SELL, 500, $ 41.58"
"Add limit order: O12781, 15:36:38, BUY, 200, $ 34.4"
"Market order: O12782, 15:36:39, SELL, 900"
"Add limit order: O12783, 15:36:42, SELL, 500, $ 35.68"
"Market order: O12784, 15:36:44, SELL, 700"
"Add limit order: O12785, 15:36:45, BUY, 500, $ 28.49"
"Market order: O12786, 15:36:46, SELL, 400"
"Add limit order: O12787, 15:36:48, SELL, 600, $ 41.23"
"Add limit order: O12788, 15:36:49, SELL, 700, $ 37.43"
"Market order: O12789, 15:36:50, SELL, 200"
"Add limit order: O12790, 15:36:51, BUY, 100, $ 30.94"
"Market order: O12791, 15:36:52, SELL, 600"
"Add limit order: O12792, 15:36:54, SELL, 300, $ 41.51"
"Add limit order: O12793, 15:36:56, SELL, 200, $ 36.07"
"Market order: O12794, 15:36:57, BUY, 300"
"Add limit order: O12795, 15:36:58, BUY, 700, $ 27.04"
"Cancel: O04576, 11:41:59, BUY, 100, $ 25.49"
"Add limit order: O12796, 15:37:03, BUY, 700, $ 27.66"
"Cancel: O01726, 10:19:36, SELL, 600, $ 44.61"
"Add limit order: O12797, 15:37:07, SELL, 400, $ 43.44"
"Add limit order: O12798, 15:37:10, SELL, 200, $ 38.21"
"Add limit order: O12799, 15:37:11, BUY, 100, $ 27.28"
"Add limit order: O12800, 15:37:12, SELL, 500, $ 37.33"
"Market order: O12801, 15:37:14, SELL, 600"
"Add limit order: O12802, 15:37:15, BUY, 200, $ 25.69"
"Add limit order: O12803, 15:37:16, SELL, 300, $ 35.22"
"Market order: O12804, 15:37:19, BUY, 400"
"Market order: O12805, 15:37:20, BUY, 800"
"Add limit order: O12806, 15:37:21, SELL, 600, $ 42.47"
"Add limit order: O12807, 15:37:22, SELL, 500, $ 38.17"
"Add limit order: O12808, 15:37:23, SELL, 100, $ 42.38"
"Add limit order: O12809, 15:37:24, SELL, 100, $ 38.95"
"Market order: O12810, 15:37:25, BUY, 100"
"Market order: O12811, 15:37:26, SELL, 100"
"Add limit order: O12812, 15:37:27, BUY, 900, $ 28.67"
"Market order: O12813, 15:37:28, SELL, 500"
"Market order: O12814, 15:37:29, SELL, 500"
"Market order: O12815, 15:37:32, BUY, 800"
"Add limit order: O12816, 15:37:33, SELL, 200, $ 39.85"
"Add limit order: O12817, 15:37:34, BUY, 100, $ 32.36"
"Market order: O12818, 15:37:35, SELL, 200"
"Add limit order: O12819, 15:37:36, SELL, 300, $ 36.99"
"Add limit order: O12820, 15:37:38, SELL, 200, $ 43.04"
"Market order: O12821, 15:37:40, BUY, 700"
"Market order: O12822, 15:37:41, BUY, 500"
"Add limit order: O12823, 15:37:43, SELL, 400, $ 39.18"
"Add limit order: O12824, 15:37:44, BUY, 300, $ 33.02"
"Add limit order: O12825, 15:37:45, BUY, 500, $ 30.0"
"Add limit order: O12826, 15:37:50, BUY, 800, $ 27.45"
"Add limit order: O12827, 15:37:51, SELL, 400, $ 42.77"
"Cancel: O08476, 13:34:02, SELL, 300, $ 44.43"
"Add limit order: O12828, 15:37:54, SELL, 500, $ 36.04"
"Cancel: O06443, 12:35:47, BUY, 800, $ 27.24"
"Add limit order: O12829, 15:37:57, SELL, 100, $ 39.7"
"Market order: O12830, 15:37:58, SELL, 400"
"Market order: O12831, 15:38:00, BUY, 500"
"Market order: O12832, 15:38:01, SELL, 500"
"Add limit order: O12833, 15:38:02, BUY, 100, $ 32.19"
"Cancel: O07571, 13:08:16, SELL, 300, $ 43.2"
"Add limit order: O12834, 15:38:04, SELL, 300, $ 37.02"
"Market order: O12835, 15:38:05, BUY, 400"
"Market order: O12836, 15:38:12, BUY, 400"
"Market order: O12837, 15:38:13, BUY, 200"
"Add limit order: O12838, 15:38:17, SELL, 300, $ 43.8"
"Market order: O12839, 15:38:18, BUY, 800"
"Market order: O12840, 15:38:19, SELL, 200"
"Add limit order: O12841, 15:38:20, BUY, 200, $ 30.49"
"Add limit order: O12842, 15:38:22, SELL, 800, $ 36.22"
"Cancel: O09464, 14:01:58, SELL, 200, $ 44.34"
"Add limit order: O12843, 15:38:25, SELL, 900, $ 35.85"
"Add limit order: O12844, 15:38:26, SELL, 100, $ 38.24"
"Add limit order: O12845, 15:38:29, SELL, 900, $ 43.89"
"Add limit order: O12846, 15:38:30, SELL, 400, $ 36.12"
"Market order: O12847, 15:38:32, BUY, 400"
"Add limit order: O12848, 15:38:37, BUY, 100, $ 28.81"
"Market order: O12849, 15:38:39, SELL, 200"
"Market order: O12850, 15:38:40, BUY, 200"
"Add limit order: O12851, 15:38:41, SELL, 900, $ 37.96"
"Add limit order: O12852, 15:38:43, SELL, 400, $ 42.63"
"Market order: O12853, 15:38:44, BUY, 100"
"Add limit order: O12854, 15:38:47, BUY, 100, $ 28.81"
"Add limit order: O12855, 15:38:48, BUY, 500, $ 34.74"
"Market order: O12856, 15:38:49, BUY, 500"
"Market order: O12857, 15:38:51, SELL, 600"
"Market order: O12858, 15:38:54, SELL, 300"
"Market order: O12859, 15:38:59, SELL, 300"
"Add limit order: O12860, 15:39:00, BUY, 200, $ 33.68"
"Add limit order: O12861, 15:39:01, SELL, 100, $ 42.71"
"Add limit order: O12862, 15:39:03, BUY, 400, $ 25.98"
"Add limit order: O12863, 15:39:05, BUY, 700, $ 29.79"
"Market order: O12864, 15:39:08, SELL, 800"
"Add limit order: O12865, 15:39:09, BUY, 200, $ 33.47"
"Add limit order: O12866, 15:39:11, SELL, 600, $ 43.44"
"Market order: O12867, 15:39:12, SELL, 300"
"Market order: O12868, 15:39:13, BUY, 400"
"Cancel: O01384, 10:10:03, BUY, 500, $ 27.0"
"Market order: O12869, 15:39:15, SELL, 700"
"Market order: O12870, 15:39:17, SELL, 400"
"Add limit order: O12871, 15:39:19, BUY, 600, $ 29.23"
"Market order: O12872, 15:39:23, SELL, 500"
"Market order: O12873, 15:39:25, SELL, 200"
"Add limit order: O12874, 15:39:26, BUY, 300, $ 31.46"
"Add limit order: O12875, 15:39:27, SELL, 100, $ 41.21"
"Market order: O12876, 15:39:29, BUY, 400"
"Add limit order: O12877, 15:39:31, SELL, 300, $ 38.88"
"Add limit order: O12878, 15:39:32, BUY, 100, $ 30.39"
"Market order: O12879, 15:39:34, BUY, 300"
"Market order: O12880, 15:39:35, BUY, 900"
"Market order: O12881, 15:39:37, SELL, 300"
"Market order: O12882, 15:39:39, SELL, 800"
"Add limit order: O12883, 15:39:41, SELL, 100, $ 36.6"
"Market order: O12884, 15:39:43, SELL, 400"
"Market order: O12885, 15:39:44, BUY, 600"
"Market order: O12886, 15:39:45, SELL, 100"
"Add limit order: O12887, 15:39:46, SELL, 400, $ 36.41"
"Market order: O12888, 15:39:47, SELL, 100"
"Market order: O12889, 15:39:50, BUY, 800"
"Add limit order: O12890, 15:39:52, BUY, 200, $ 31.81"
"Market order: O12891, 15:39:53, BUY, 500"
"Market order: O12892, 15:39:56, BUY, 200"
"Add limit order: O12893, 15:39:57, SELL, 400, $ 36.07"
"Market order: O12894, 15:39:58, BUY, 400"
"Add limit order: O12895, 15:40:01, SELL, 500, $ 36.63"
"Add limit order: O12896, 15:40:03, BUY, 100, $ 28.05"
"Add limit order: O12897, 15:40:04, BUY, 300, $ 27.5"
"Add limit order: O12898, 15:40:06, BUY, 900, $ 28.11"
"Add limit order: O12899, 15:40:10, SELL, 200, $ 36.33"
"Add limit order: O12900, 15:40:11, BUY, 100, $ 34.59"
"Market order: O12901, 15:40:12, BUY, 100"
"Market order: O12902, 15:40:13, BUY, 900"
"Add limit order: O12903, 15:40:14, SELL, 300, $ 36.85"
"Market order: O12904, 15:40:15, BUY, 200"
"Market order: O12905, 15:40:16, SELL, 200"
"Add limit order: O12906, 15:40:17, BUY, 100, $ 31.37"
"Add limit order: O12907, 15:40:18, SELL, 700, $ 39.89"
"Market order: O12908, 15:40:21, BUY, 500"
"Cancel: O12234, 15:20:39, BUY, 300, $ 25.66"
"Market order: O12909, 15:40:26, BUY, 900"
"Market order: O12910, 15:40:27, BUY, 100"
"Cancel: O11691, 15:05:42, SELL, 400, $ 44.3"
"Add limit order: O12911, 15:40:29, BUY, 500, $ 26.94"
"Market order: O12912, 15:40:30, SELL, 400"
"Add limit order: O12913, 15:40:31, BUY, 300, $ 31.65"
"Add limit order: O12914, 15:40:33, SELL, 600, $ 40.35"
"Add limit order: O12915, 15:40:34, SELL, 400, $ 43.19"
"Add limit order: O12916, 15:40:36, SELL, 400, $ 39.93"
"Add limit order: O12917, 15:40:37, BUY, 200, $ 30.83"
"Add limit order: O12918, 15:40:40, BUY, 500, $ 29.1"
"Add limit order: O12919, 15:40:41, BUY, 800, $ 27.6"
"Add limit order: O12920, 15:40:42, SELL, 400, $ 39.95"
"Add limit order: O12921, 15:40:46, SELL, 900, $ 42.33"
"Add limit order: O12922, 15:40:47, SELL, 600, $ 40.64"
"Market order: O12923, 15:40:48, SELL, 700"
"Add limit order: O12924, 15:40:49, SELL, 700, $ 40.3"
"Market order: O12925, 15:40:51, BUY, 200"
"Cancel: O10606, 14:34:44, BUY, 800, $ 26.9"
"Add limit order: O12926, 15:40:54, BUY, 900, $ 28.85"
"Cancel: O10606, 14:34:44, BUY, 800, $ 26.9"
"Market order: O12927, 15:40:58, BUY, 200"
"Add limit order: O12928, 15:41:03, SELL, 300, $ 37.89"
"Market order: O12929, 15:41:06, BUY, 100"
"Market order: O12930, 15:41:09, BUY, 600"
"Add limit order: O12931, 15:41:13, BUY, 200, $ 29.43"
"Add limit order: O12932, 15:41:14, BUY, 100, $ 32.1"
"Market order: O12933, 15:41:15, SELL, 400"
"Add limit order: O12934, 15:41:16, BUY, 800, $ 28.23"
"Add limit order: O12935, 15:41:17, BUY, 500, $ 33.29"
"Market order: O12936, 15:41:18, SELL, 900"
"Add limit order: O12937, 15:41:19, BUY, 300, $ 33.21"
"Market order: O12938, 15:41:20, BUY, 500"
"Add limit order: O12939, 15:41:22, BUY, 400, $ 33.35"
"Add limit order: O12940, 15:41:24, SELL, 500, $ 38.7"
"Cancel: O07547, 13:07:31, SELL, 100, $ 44.53"
"Add limit order: O12941, 15:41:28, BUY, 200, $ 26.85"
"Market order: O12942, 15:41:29, SELL, 500"
"Market order: O12943, 15:41:31, BUY, 500"
"Add limit order: O12944, 15:41:32, SELL, 300, $ 40.68"
"Add limit order: O12945, 15:41:33, SELL, 500, $ 35.5"
"Add limit order: O12946, 15:41:34, BUY, 300, $ 34.46"
"Add limit order: O12947, 15:41:35, SELL, 300, $ 41.48"
"Add limit order: O12948, 15:41:36, BUY, 400, $ 32.27"
"Cancel: O06157, 12:27:15, SELL, 200, $ 44.4"
"Add limit order: O12949, 15:41:38, SELL, 200, $ 40.23"
"Add limit order: O12950, 15:41:40, BUY, 200, $ 29.75"
"Market order: O12951, 15:41:41, SELL, 800"
"Market order: O12952, 15:41:46, BUY, 600"
"Add limit order: O12953, 15:41:49, SELL, 700, $ 38.28"
"Add limit order: O12954, 15:41:50, SELL, 400, $ 44.51"
"Market order: O12955, 15:41:53, SELL, 200"
"Add limit order: O12956, 15:41:55, SELL, 200, $ 40.46"
"Market order: O12957, 15:41:58, SELL, 300"
"Add limit order: O12958, 15:41:59, SELL, 300, $ 37.0"
"Add limit order: O12959, 15:42:00, SELL, 500, $ 41.16"
"Market order: O12960, 15:42:02, BUY, 800"
"Market order: O12961, 15:42:05, BUY, 500"
"Market order: O12962, 15:42:06, BUY, 300"
"Add limit order: O12963, 15:42:09, SELL, 600, $ 40.24"
"Market order: O12964, 15:42:11, BUY, 600"
"Add limit order: O12965, 15:42:15, SELL, 900, $ 44.48"
"Market order: O12966, 15:42:17, SELL, 500"
"Cancel: O05871, 12:18:48, SELL, 300, $ 44.71"
"Market order: O12967, 15:42:20, BUY, 500"
"Market order: O12968, 15:42:22, BUY, 700"
"Add limit order: O12969, 15:42:23, BUY, 200, $ 31.58"
"Market order: O12970, 15:42:24, SELL, 500"
"Add limit order: O12971, 15:42:25, BUY, 300, $ 29.69"
"Add limit order: O12972, 15:42:26, BUY, 400, $ 34.32"
"Market order: O12973, 15:42:27, SELL, 100"
"Market order: O12974, 15:42:28, BUY, 800"
"Add limit order: O12975, 15:42:31, BUY, 200, $ 26.27"
"Market order: O12976, 15:42:32, BUY, 100"
"Add limit order: O12977, 15:42:33, BUY, 600, $ 32.3"
"Add limit order: O12978, 15:42:34, BUY, 100, $ 30.77"
"Market order: O12979, 15:42:37, BUY, 400"
"Add limit order: O12980, 15:42:38, BUY, 700, $ 26.13"
"Add limit order: O12981, 15:42:39, SELL, 400, $ 42.53"
"Market order: O12982, 15:42:40, SELL, 200"
"Add limit order: O12983, 15:42:41, SELL, 500, $ 43.09"
"Add limit order: O12984, 15:42:42, BUY, 300, $ 27.34"
"Market order: O12985, 15:42:43, BUY, 200"
"Add limit order: O12986, 15:42:45, SELL, 300, $ 36.01"
"Add limit order: O12987, 15:42:46, SELL, 300, $ 36.45"
"Market order: O12988, 15:42:47, BUY, 600"
"Market order: O12989, 15:42:48, BUY, 500"
"Market order: O12990, 15:42:49, SELL, 500"
"Market order: O12991, 15:42:53, BUY, 600"
"Market order: O12992, 15:42:54, BUY, 900"
"Market order: O12993, 15:42:55, BUY, 300"
"Market order: O12994, 15:42:57, SELL, 200"
"Add limit order: O12995, 15:42:58, BUY, 300, $ 31.98"
"Add limit order: O12996, 15:42:59, SELL, 400, $ 42.48"
"Add limit order: O12997, 15:43:02, SELL, 900, $ 43.51"
"Add limit order: O12998, 15:43:03, SELL, 300, $ 35.39"
"Add limit order: O12999, 15:43:09, SELL, 900, $ 37.55"
"Add limit order: O13000, 15:43:10, SELL, 200, $ 36.85"
"Market order: O13001, 15:43:11, BUY, 100"
"Add limit order: O13002, 15:43:12, BUY, 600, $ 32.42"
"Add limit order: O13003, 15:43:13, SELL, 500, $ 40.94"
"Add limit order: O13004, 15:43:14, BUY, 500, $ 32.39"
"Add limit order: O13005, 15:43:16, BUY, 300, $ 34.05"
"Market order: O13006, 15:43:19, BUY, 200"
"Add limit order: O13007, 15:43:20, SELL, 900, $ 42.43"
"Cancel: O00420, 09:42:24, SELL, 300, $ 44.56"
"Market order: O13008, 15:43:22, BUY, 400"
"Market order: O13009, 15:43:23, SELL, 500"
"Add limit order: O13010, 15:43:26, BUY, 200, $ 32.94"
"Add limit order: O13011, 15:43:27, BUY, 400, $ 30.02"
"Market order: O13012, 15:43:28, SELL, 600"
"Market order: O13013, 15:43:29, BUY, 200"
"Add limit order: O13014, 15:43:30, SELL, 200, $ 36.41"
"Market order: O13015, 15:43:31, BUY, 300"
"Cancel: O01726, 10:19:36, SELL, 600, $ 44.61"
"Add limit order: O13016, 15:43:35, BUY, 300, $ 34.29"
"Market order: O13017, 15:43:36, BUY, 500"
"Market order: O13018, 15:43:37, BUY, 900"
"Market order: O13019, 15:43:38, BUY, 400"
"Market order: O13020, 15:43:40, BUY, 300"
"Market order: O13021, 15:43:42, SELL, 500"
"Add limit order: O13022, 15:43:43, SELL, 400, $ 40.76"
"Add limit order: O13023, 15:43:45, SELL, 100, $ 43.77"
"Market order: O13024, 15:43:47, BUY, 300"
"Market order: O13025, 15:43:48, SELL, 100"
"Market order: O13026, 15:43:49, BUY, 500"
"Add limit order: O13027, 15:43:50, SELL, 600, $ 41.94"
"Market order: O13028, 15:43:53, SELL, 200"
"Market order: O13029, 15:43:55, BUY, 400"
"Add limit order: O13030, 15:43:56, SELL, 400, $ 35.41"
"Add limit order: O13031, 15:43:57, BUY, 300, $ 25.62"
"Add limit order: O13032, 15:43:59, SELL, 100, $ 38.44"
"Add limit order: O13033, 15:44:01, BUY, 300, $ 30.91"
"Market order: O13034, 15:44:02, BUY, 100"
"Market order: O13035, 15:44:04, BUY, 200"
"Add limit order: O13036, 15:44:05, SELL, 200, $ 42.16"
"Add limit order: O13037, 15:44:07, BUY, 100, $ 25.63"
"Market order: O13038, 15:44:08, SELL, 700"
"Market order: O13039, 15:44:09, BUY, 300"
"Cancel: O06244, 12:29:52, SELL, 200, $ 43.82"
"Market order: O13040, 15:44:11, SELL, 200"
"Add limit order: O13041, 15:44:12, SELL, 100, $ 40.46"
"Market order: O13042, 15:44:13, SELL, 300"
"Add limit order: O13043, 15:44:16, BUY, 200, $ 28.25"
"Market order: O13044, 15:44:17, SELL, 700"
"Add limit order: O13045, 15:44:18, BUY, 500, $ 31.75"
"Add limit order: O13046, 15:44:19, BUY, 200, $ 29.16"
"Add limit order: O13047, 15:44:20, BUY, 900, $ 30.15"
"Add limit order: O13048, 15:44:21, BUY, 700, $ 33.13"
"Add limit order: O13049, 15:44:22, BUY, 300, $ 32.95"
"Market order: O13050, 15:44:23, BUY, 400"
"Market order: O13051, 15:44:24, BUY, 400"
"Market order: O13052, 15:44:25, SELL, 400"
"Add limit order: O13053, 15:44:26, BUY, 400, $ 29.73"
"Add limit order: O13054, 15:44:32, BUY, 400, $ 32.22"
"Market order: O13055, 15:44:33, BUY, 700"
"Add limit order: O13056, 15:44:36, SELL, 600, $ 41.61"
"Add limit order: O13057, 15:44:37, SELL, 100, $ 39.09"
"Market order: O13058, 15:44:38, SELL, 100"
"Add limit order: O13059, 15:44:41, BUY, 400, $ 30.29"
"Market order: O13060, 15:44:42, BUY, 100"
"Add limit order: O13061, 15:44:43, SELL, 300, $ 39.23"
"Market order: O13062, 15:44:46, SELL, 700"
"Market order: O13063, 15:44:48, SELL, 500"
"Market order: O13064, 15:44:49, SELL, 900"
"Add limit order: O13065, 15:44:50, BUY, 100, $ 33.37"
"Add limit order: O13066, 15:44:51, SELL, 500, $ 43.9"
"Market order: O13067, 15:44:52, BUY, 500"
"Add limit order: O13068, 15:44:53, SELL, 500, $ 37.22"
"Add limit order: O13069, 15:44:55, BUY, 100, $ 29.25"
"Market order: O13070, 15:44:56, SELL, 100"
"Add limit order: O13071, 15:44:57, BUY, 400, $ 31.64"
"Add limit order: O13072, 15:44:58, SELL, 600, $ 38.52"
"Add limit order: O13073, 15:44:59, BUY, 500, $ 31.5"
"Market order: O13074, 15:45:00, SELL, 300"
"Add limit order: O13075, 15:45:01, SELL, 300, $ 37.8"
"Market order: O13076, 15:45:03, BUY, 200"
"Add limit order: O13077, 15:45:05, SELL, 100, $ 43.64"
"Market order: O13078, 15:45:06, BUY, 100"
"Add limit order: O13079, 15:45:07, SELL, 100, $ 43.26"
"Market order: O13080, 15:45:08, SELL, 400"
"Add limit order: O13081, 15:45:09, SELL, 700, $ 37.24"
"Market order: O13082, 15:45:10, BUY, 200"
"Add limit order: O13083, 15:45:12, SELL, 300, $ 41.33"
"Add limit order: O13084, 15:45:14, BUY, 100, $ 29.93"
"Add limit order: O13085, 15:45:15, BUY, 300, $ 29.55"
"Cancel: O09411, 14:00:24, BUY, 200, $ 25.92"
"Cancel: O08591, 13:37:26, BUY, 600, $ 25.16"
"Market order: O13086, 15:45:19, BUY, 500"
"Add limit order: O13087, 15:45:20, BUY, 600, $ 29.58"
"Add limit order: O13088, 15:45:27, SELL, 400, $ 43.02"
"Market order: O13089, 15:45:28, BUY, 300"
"Market order: O13090, 15:45:30, SELL, 500"
"Add limit order: O13091, 15:45:31, SELL, 700, $ 39.86"
"Add limit order: O13092, 15:45:33, SELL, 300, $ 39.17"
"Add limit order: O13093, 15:45:34, SELL, 800, $ 41.1"
"Market order: O13094, 15:45:37, BUY, 100"
"Market order: O13095, 15:45:38, BUY, 500"
"Add limit order: O13096, 15:45:39, SELL, 700, $ 36.32"
"Market order: O13097, 15:45:40, BUY, 400"
"Add limit order: O13098, 15:45:42, BUY, 500, $ 33.34"
"Cancel: O08232, 13:27:15, SELL, 100, $ 43.88"
"Cancel: O00549, 09:46:18, BUY, 600, $ 27.91"
"Market order: O13099, 15:45:46, SELL, 400"
"Add limit order: O13100, 15:45:48, SELL, 300, $ 35.92"
"Market order: O13101, 15:45:49, BUY, 400"
"Market order: O13102, 15:45:50, SELL, 100"
"Market order: O13103, 15:45:51, SELL, 700"
"Market order: O13104, 15:45:53, SELL, 300"
"Add limit order: O13105, 15:45:54, BUY, 600, $ 34.62"
"Market order: O13106, 15:45:56, SELL, 100"
"Market order: O13107, 15:45:57, BUY, 200"
"Cancel: O04968, 11:52:47, SELL, 800, $ 43.19"
"Market order: O13108, 15:45:59, BUY, 100"
"Add limit order: O13109, 15:46:00, SELL, 100, $ 39.34"
"Add limit order: O13110, 15:46:03, SELL, 700, $ 36.26"
"Market order: O13111, 15:46:06, SELL, 100"
"Market order: O13112, 15:46:07, BUY, 300"
"Add limit order: O13113, 15:46:09, SELL, 300, $ 38.97"
"Market order: O13114, 15:46:10, BUY, 300"
"Add limit order: O13115, 15:46:13, SELL, 300, $ 44.9"
"Add limit order: O13116, 15:46:14, SELL, 200, $ 42.65"
"Add limit order: O13117, 15:46:15, BUY, 400, $ 31.77"
"Add limit order: O13118, 15:46:16, SELL, 200, $ 42.96"
"Add limit order: O13119, 15:46:17, SELL, 100, $ 35.54"
"Add limit order: O13120, 15:46:18, SELL, 200, $ 41.64"
"Add limit order: O13121, 15:46:20, SELL, 600, $ 38.14"
"Add limit order: O13122, 15:46:22, BUY, 300, $ 32.15"
"Add limit order: O13123, 15:46:24, BUY, 600, $ 30.19"
"Market order: O13124, 15:46:25, BUY, 200"
"Add limit order: O13125, 15:46:26, BUY, 100, $ 25.17"
"Market order: O13126, 15:46:29, SELL, 400"
"Market order: O13127, 15:46:30, SELL, 100"
"Add limit order: O13128, 15:46:33, BUY, 700, $ 33.55"
"Add limit order: O13129, 15:46:36, BUY, 900, $ 30.82"
"Market order: O13130, 15:46:37, SELL, 700"
"Market order: O13131, 15:46:38, SELL, 400"
"Add limit order: O13132, 15:46:39, SELL, 100, $ 36.28"
"Market order: O13133, 15:46:40, BUY, 100"
"Add limit order: O13134, 15:46:41, BUY, 900, $ 33.6"
"Market order: O13135, 15:46:42, BUY, 100"
"Market order: O13136, 15:46:44, SELL, 500"
"Market order: O13137, 15:46:45, BUY, 100"
"Market order: O13138, 15:46:46, SELL, 900"
"Add limit order: O13139, 15:46:48, SELL, 100, $ 42.17"
"Market order: O13140, 15:46:49, SELL, 600"
"Market order: O13141, 15:46:52, BUY, 400"
"Add limit order: O13142, 15:46:53, SELL, 600, $ 44.61"
"Add limit order: O13143, 15:46:55, BUY, 500, $ 34.76"
"Market order: O13144, 15:46:56, BUY, 200"
"Add limit order: O13145, 15:46:58, BUY, 600, $ 31.86"
"Add limit order: O13146, 15:46:59, BUY, 700, $ 30.39"
"Market order: O13147, 15:47:00, BUY, 200"
"Add limit order: O13148, 15:47:02, BUY, 100, $ 32.7"
"Add limit order: O13149, 15:47:03, BUY, 900, $ 34.9"
"Market order: O13150, 15:47:04, BUY, 200"
"Add limit order: O13151, 15:47:08, SELL, 600, $ 43.27"
"Market order: O13152, 15:47:09, SELL, 400"
"Add limit order: O13153, 15:47:10, BUY, 400, $ 32.32"
"Add limit order: O13154, 15:47:13, SELL, 700, $ 42.39"
"Add limit order: O13155, 15:47:14, BUY, 700, $ 33.52"
"Market order: O13156, 15:47:16, BUY, 600"
"Market order: O13157, 15:47:18, SELL, 400"
"Add limit order: O13158, 15:47:19, SELL, 600, $ 36.33"
"Market order: O13159, 15:47:20, SELL, 200"
"Add limit order: O13160, 15:47:21, BUY, 400, $ 34.18"
